symbol,sector,industry,exchange,market_cap_B
EL,Consumer Defensive,Household & Personal Products,NYQ,29.95
BRO,Financial Services,Insurance Brokers,NYQ,29.93
CAH,Healthcare,Medical Distribution,NYQ,29.87
FCNCA,Financial Services,Banks - Regional,NMS,29.83
IRM,Real Estate,REIT - Specialty,NYQ,29.81
TPL,Energy,Oil & Gas E&P,NYQ,29.8
FITB,Financial Services,Banks - Regional,NMS,29.68
BNTX,Healthcare,Biotechnology,NMS,29.67
STT,Financial Services,Asset Management,NYQ,29.34
MCHP,Technology,Semiconductors,NMS,29.16
WDS,Energy,Oil & Gas E&P,NYQ,29.16
GOLD,Basic Materials,Gold,NYQ,29.12
HEI,Industrials,Aerospace & Defense,NYQ,29.06
TSCO,Consumer Cyclical,Specialty Retail,NMS,29.04
CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYQ,28.94
IOT,Technology,Software - Infrastructure,NYQ,28.9
MTD,Healthcare,Diagnostics & Research,NYQ,28.79
GPN,Industrials,Specialty Business Services,NYQ,28.72
WPM,Basic Materials,Gold,NYQ,28.38
FTV,Technology,Scientific & Technical Instruments,NYQ,28.22
K,Consumer Defensive,Packaged Foods,NYQ,28.17
DOV,Industrials,Specialty Industrial Machinery,NYQ,27.94
HPE,Technology,Communication Equipment,NYQ,27.87
BR,Technology,Information Technology Services,NYQ,27.85
QSR,Consumer Cyclical,Restaurants,NYQ,27.79
TW,Financial Services,Capital Markets,NMS,27.69
SW,Consumer Cyclical,Packaging & Containers,NYQ,27.62
EQR,Real Estate,REIT - Residential,NYQ,27.62
DOW,Basic Materials,Chemicals,NYQ,27.48
LPLA,Financial Services,Capital Markets,NMS,27.39
SYF,Financial Services,Credit Services,NYQ,26.78
PPG,Basic Materials,Specialty Chemicals,NYQ,26.77
ZM,Technology,Software - Application,NMS,26.65
GIB,Technology,Information Technology Services,NYQ,26.6
CVE,Energy,Oil & Gas Integrated,NYQ,26.58
CDW,Technology,Information Technology Services,NMS,26.54
